accelerationProfile
Time,Value,Skidding
2,0,False
2.02,0.04081571,False
2.04,0.02536268,False
2.06,0.04283537,False
2.08,0.04011334,False
2.1,0.01220216,False
2.12,0.03428442,False
2.14,0.02406293,False
2.16,0.03801289,False
2.18,0.0400355,False
2.2,0.0440456,False
2.22,0.06237223,False
2.24,0.05268958,False
2.26,0.04568294,False
2.28,0.02525584,False
2.3,0.0471185,False
2.32,0.0717243,False
2.34,0.0768796,False
2.36,0.08612496,False
2.38,0.09801575,False
2.4,0.1106072,False
2.42,0.1179553,False
2.44,0.184143,False
2.46,0.150004,False
2.48,0.183454,False
2.5,0.212277,False
2.52,0.201462,False
2.54,0.2205096,False
2.56,0.264825,False
2.58,0.2415881,False
2.6,0.2740736,False
2.62,0.2702555,False
2.64,0.2974075,False
2.66,0.2860558,False
2.68,0.2754021,False
2.7,0.2876586,False
2.72,0.307985,False
2.74,0.2747051,False
2.76,0.2739331,False
2.78,0.3105125,False
2.8,0.3024738,False
2.82,0.3055384,False
2.84,0.3383604,False
2.86,0.3225799,False
2.88,0.2996009,False
2.9,0.307803,False
2.92,0.3166199,False
2.94,0.3800738,False
2.96,0.3718299,False
2.98,0.3746817,False
3,0.391414,False
3.02,0.4080228,False
3.04,0.4335102,False
3.06,0.4307921,False
3.08,0.4338347,False
3.1,0.4768897,False
3.12,0.4512569,False
3.14,0.4646282,False
3.16,0.4848715,False
3.18,0.5448958,False
3.2,0.535779,False
3.22,0.5392615,False
3.24,0.5521849,False
3.26,0.5773584,False
3.28,0.5648209,False
3.3,0.5704329,False
3.32,0.5935531,False
3.34,0.60971,False
3.36,0.6350184,False
3.38,0.6205962,False
3.4,0.6459351,False
3.42,0.6460963,False
3.44,0.6395558,False
3.46,0.6503671,False
3.48,0.6134554,False
3.5,0.6651704,False
3.52,0.6626459,False
3.54,0.6686665,False
3.56,0.7074127,False
3.58,0.7036515,False
3.6,0.7135574,False
3.62,0.7212265,False
3.64,0.7055165,False
3.66,0.7162593,False
3.68,0.7323564,False
3.7,0.7111863,False
3.72,0.7016712,False
3.74,0.7239109,False
3.76,0.7377582,False
3.78,0.7150114,False
3.8,0.7035042,False
3.82,0.7021047,False
3.84,0.7125348,False
3.86,0.6783481,False
3.88,0.7817147,False
3.9,0.7540803,False
3.92,0.7561507,False
3.94,0.774315,False
3.96,0.804221,False
3.98,0.7920743,False
4,0.8420501,False
4.02,0.8504487,False
4.04,0.8868958,False
4.06,0.9226413,False
4.08,0.944694,False
4.1,0.9213173,False
4.12,0.9767067,False
4.14,0.9587011,False
4.16,0.9903296,False
4.18,0.9956688,False
4.2,1.012417,False
4.22,1.057623,False
4.24,1.094712,False
4.26,1.139823,False
4.28,1.150694,False
4.3,1.227265,False
4.32,1.210791,False
4.34,1.290763,False
4.36,1.328435,False
4.38,1.379406,False
4.4,1.432922,False
4.42,1.465845,False
4.44,1.528992,False
4.46,1.59484,False
4.48,1.634128,False
4.5,1.684558,False
4.52,1.786195,False
4.54,1.862579,False
4.56,1.948696,False
4.58,2.000586,False
4.6,2.071287,False
4.62,2.13234,False
4.64,2.211124,False
4.66,2.316874,False
4.68,2.403696,False
4.7,2.510916,False
4.72,2.618165,False
4.74,2.740758,False
4.76,2.860309,False
4.78,2.98135,False
4.8,3.092298,False
4.82,3.227198,False
4.84,3.355343,False
4.86,3.492893,False
4.88,3.632031,False
4.9,3.776876,False
4.92,3.925535,False
4.94,4.078899,False
4.96,4.236775,False
