Time, Radius, MaxSpeed, ActualSpeed
0.6312914,4.987175,0,0,
1.060527,1.833641,14.93216,0.0944318,
1.37486,0.6377094,14.93216,0.2298478,
1.711585,0.4564432,14.93216,0.4747409,
2.160804,0.9989927,14.93216,1.034477,
2.744303,2.631612,14.93216,2.404214,
3.457314,5.885614,14.93216,5.647403,
4.286207,11.21093,19.25081,10.78046,
5.213952,18.94378,25.06499,16.03041,
6.221936,29.32888,31.7557,21.18407,
7.290771,42.57148,33.81434,26.07598,
8.400616,58.9357,33.81434,30.59093,
9.531307,78.94556,33.81434,33.81434,
10.66259,103.8491,33.81434,33.81434,
11.77405,136.892,33.81434,33.81434,
12.84521,187.815,33.81434,33.81434,
13.85551,297.4282,33.81434,33.81434,
14.78446,999.4944,33.81434,33.81434,
15.6114,395.3042,33.81434,33.81434,
16.31587,110.0697,33.81434,33.81434,
16.82786,33.26211,33.81434,33.81434,
17.35642,35.81086,33.81434,33.81434,
17.89951,37.86529,33.81434,33.81434,
18.45533,39.38144,33.81434,33.81434,
19.02186,40.34044,33.81434,33.81434,
19.59726,40.74616,33.81434,33.81434,
20.17959,40.62196,33.81434,33.81434,
20.76704,40.00671,33.81434,33.81434,
21.35764,38.95079,33.81434,33.81434,
21.9496,37.51228,33.81434,33.81434,
22.54107,35.7536,33.81434,33.81434,
23.13023,33.73858,33.81434,33.81434,
23.71532,31.53015,33.00932,33.00932,
24.29457,29.1886,31.67386,31.43078,
24.86633,26.77025,30.22622,29.29633,
25.42891,24.32647,28.69279,27.06558,
25.98073,21.90323,27.10219,24.74429,
26.52034,19.5407,25.48427,22.33944,
27.04625,17.27313,23.86902,19.85999,
27.55721,15.12892,22.28545,17.31585,
28.01324,4.859509,14.93216,14.93216,
28.48271,5.925447,14.93216,14.93216,
28.9663,7.378509,16.106,16.106,
29.46365,9.355141,17.74977,17.74977,
29.97369,12.09957,19.95509,19.95509,
30.49467,16.09584,23.00632,22.40614,
31.02449,22.45298,27.46916,24.76373,
31.56077,34.36872,33.81434,27.01855,
32.10093,66.27425,33.81434,29.16302,
32.64221,536.0084,33.81434,31.19122,
33.182,89.45652,33.81434,29.9467,
33.71756,40.59587,33.81434,27.86775,
